,VOC,JSC,FF,PCE,Electrolyte,Active area,Co-adsorbent,Co-sensitizer,Semiconductor,Dye loading,Exposure time,Solar simulator,Performance comment,Article author,Article title,Article journal,Article volume,Article DOI,Article pages,Article issue nr,Article EID,Article year,Article year.1,Article electronic id,Article keywords,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent
17,340.0,2.7,0.63,0.6,Iodide_Triiodide,0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)c1ccc2c(c1)C(C)(C)C(=[N+]2C)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,616.0,490.0,"methanol, tert-butyl alcohol-acetonitrile"
18,490.0,7.5,0.7,2.6,Iodide_Triiodide,0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)CN1C(=S)S/C(=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)/C1=O,coumarin,539.0,580.0,"methanol, tert-butyl alcohol-acetonitrile"
19,480.0,12.8,0.6,3.7,Iodide_Triiodide,0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C(=O)O,coumarin,506.0,610.0,"methanol, tert-butyl alcohol-acetonitrile"
22,530.0,13.2,0.67,4.7,Iodide_Triiodide,0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/C=C(\C(=O)O)/C#N)CC,coumarin,480.0,535.0,"methanol, tert-butyl alcohol-acetonitrile"
23,500.0,9.4,0.65,3.1,Iodide_Triiodide,0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,N#C/C(=C\c1c(=O)oc2c(c1C(F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C)/C(=O)O,coumarin,477.0,600.0,"methanol, tert-butyl alcohol-acetonitrile"
24,500.0,12.9,0.64,4.1,Iodide_Triiodide,0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,N#C/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,493.0,540.0,"methanol, tert-butyl alcohol-acetonitrile"
25,510.0,11.1,0.6,3.4,Iodide_Triiodide,0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,451.0,505.0,"methanol, tert-butyl alcohol-acetonitrile"
30,796.0,6.98,0.87,3.81,Iodide_Triiodide,0.16,-,-,TiO2 8-12 uM thickness,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Xiaoyan Zu and Yanhong Cui and Huabiao Wu and Qing Ye and Jianrong Gao,Novel D{\textendash}A{\textendash}$\uppi${\textendash}A carbazole dyes containing benzothiadiazole chromophores for dye-sensitized solar cells,Organic Electronics,15,10.1016/j.orgel.2014.04.016,1536--1544,7,,01/01/2014,Han_2014,,,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(cc1)C=C(C1SC(=S)N(C1=O)CC(=O)O)C1SC(=S)N(C1=O)CC(=O)O,"carbazole, benzothiadiazole",446.0,572.0,CH3OH+CHCl3
49,690.0,9.79,0.71,4.78,Iodide_Triiodide,0.16,-,-,TiO2 film (18um thick ),-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Rui Kang and Xiaoyan Zu and Yanhong Cui and Jianrong Gao,Novel coumarin sensitizers based on 2-(thiophen-2-yl)thiazole $\uppi$-bridge for dye-sensitized solar cells,Photochem. Photobiol. Sci.,14,10.1039/c5pp00216h,2046--2053,11,,01/01/2015,Han_2015,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)C=C(C(=O)O)C#N)CC,coumarin,460.0,581.0,CH3OH-CHCl3
50,500.0,0.96,0.69,0.33,Iodide_Triiodide,0.16,-,-,TiO2 film (18um thick ),-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Rui Kang and Xiaoyan Zu and Yanhong Cui and Jianrong Gao,Novel coumarin sensitizers based on 2-(thiophen-2-yl)thiazole $\uppi$-bridge for dye-sensitized solar cells,Photochem. Photobiol. Sci.,14,10.1039/c5pp00216h,2046--2053,11,,01/01/2015,Han_2015,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,coumarin,489.0,607.0,CH3OH-CHCl3
51,660.0,7.72,0.71,3.62,Iodide_Triiodide,0.16,-,-,TiO2 film (18um thick ),-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Rui Kang and Xiaoyan Zu and Yanhong Cui and Jianrong Gao,Novel coumarin sensitizers based on 2-(thiophen-2-yl)thiazole $\uppi$-bridge for dye-sensitized solar cells,Photochem. Photobiol. Sci.,14,10.1039/c5pp00216h,2046--2053,11,,01/01/2015,Han_2015,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)CC,coumarin,438.0,500.0,CH3OH-CHCl3
52,554.0,2.98,0.63,1.04,Iodide_Triiodide,0.25,-,-,"TiO2 film (6 um,+4um scattering layer )",117 nmol/cm2,12 hours,AM 1.5G 100mW/cm2,-,Qinghua Chen and Nan Wu and Yanyan Liu and Xiaoyan Li and Bo Liu,"Twisted coumarin dyes for dye-sensitized solar cells with high photovoltage: adjustment of optical, electrochemical, and photovoltaic properties by the molecular structure",{RSC} Adv.,6,10.1039/c6ra17930d,87969--87977,91,,01/01/2016,Chen_2016,,,OC(=O)c1ccc(cc1)c1ccccc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,407.0,485.0,acetonitrile
53,704.0,4.57,0.724,2.33,Iodide_Triiodide,0.25,-,-,"TiO2 film (6 um,+4um scattering layer )",212 nmol/cm2,12 hours,AM 1.5G 100mW/cm2,-,Qinghua Chen and Nan Wu and Yanyan Liu and Xiaoyan Li and Bo Liu,"Twisted coumarin dyes for dye-sensitized solar cells with high photovoltage: adjustment of optical, electrochemical, and photovoltaic properties by the molecular structure",{RSC} Adv.,6,10.1039/c6ra17930d,87969--87977,91,,01/01/2016,Chen_2016,,,OC(=O)c1ccc(cc1)c1cccc(c1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,414.0,496.0,acetonitrile
55,687.0,5.63,0.695,2.69,Iodide_Triiodide,0.25,-,-,"TiO2 film (6 um,+4um scattering layer )",202 nmol/cm2,12 hours,AM 1.5G 100mW/cm2,-,Qinghua Chen and Nan Wu and Yanyan Liu and Xiaoyan Li and Bo Liu,"Twisted coumarin dyes for dye-sensitized solar cells with high photovoltage: adjustment of optical, electrochemical, and photovoltaic properties by the molecular structure",{RSC} Adv.,6,10.1039/c6ra17930d,87969--87977,91,,01/01/2016,Chen_2016,,,OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,420.0,509.0,acetonitrile
57,581.0,14.66,0.686,5.97,Iodide_Triiodide,0.16,-,-,"TiO2 film (14 um, 20 nm particle +4um scattering layer )",187 nmol/cm2,12 hours,AM 1.5G 100mW/cm2,-,In Taek Choi{\hspace{0.167em}} and Myung Jong Ju{\hspace{0.167em}} and Sang Hyun Song and Sang Gyun Kim and Dae Won Cho and Chan Im and Hwan Kyu Kim,Tailor-Made Hole-Conducting Coadsorbents for Highly Efficient Organic Dye-Sensitized Solar Cells,Chemistry - A European Journal,19,10.1002/chem.201301658,15545--15555,46,,01/01/2013,Choi__2013,,,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,511.0,572.0,T-BuOH-AN
58,756.0,8.98,0.69,4.66,Iodide_Triiodide,-,-,-,TiO2 (20 nm particle size),-,15 hours,AM 1.5G 100mW/cm2,-,Yanping Hong and Jin-Yun Liao and Jianlong Fu and Dai-Bin Kuang and Herbert Meier and Cheng-Yong Su and Derong Cao,Performance of dye-sensitized solar cells based on novel sensitizers bearing asymmetric double D-$\uppi$-A chains with arylamines as donors,Dyes and Pigments,94,10.1016/j.dyepig.2012.02.011,481--489,3,,01/01/2012,Hong_2012,,,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C(=O)O,phenothiazine,422.0,610.0,CH2Cl2/MeOH (1:1)
59,580.0,12.2,0.68,4.82,Iodide_Triiodide,-,-,-,"TiO2 film (5 um,+4um scattering layer )",230 nmol/cm2,-,AM 1.5G 100mW/cm2,-,Kang Deuk Seo and In Tack Choi and Young Geun Park and Sunwoo Kang and Jin Yong Lee and Hwan Kyu Kim,Novel D{\textendash}A{\textendash}$\uppi${\textendash}A coumarin dyes containing low band-gap chromophores for dye-sensitised solar cells,Dyes and Pigments,94,10.1016/j.dyepig.2012.02.015,469--474,3,,01/01/2012,Seo_2012,,,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,507.0,720.0,CHCl3/MeOH
61,550.0,10.8,0.66,3.93,Iodide_Triiodide,-,-,-,"TiO2 film (5 um,+4um scattering layer )",220 nmol/cm2,-,AM 1.5G 100mW/cm2,-,Kang Deuk Seo and In Tack Choi and Young Geun Park and Sunwoo Kang and Jin Yong Lee and Hwan Kyu Kim,Novel D{\textendash}A{\textendash}$\uppi${\textendash}A coumarin dyes containing low band-gap chromophores for dye-sensitised solar cells,Dyes and Pigments,94,10.1016/j.dyepig.2012.02.015,469--474,3,,01/01/2012,Seo_2012,,,N#C/C(=C\c1sc(c2c1OCCO2)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,520.0,720.0,CHCl3/MeOH
68,610.0,16.5,0.76,7.6,Iodide_Triiodide,0.2354,-,-,TiO2 film (6 um),-,12 hours,AM 1.5G 100mW/cm2,-,Z.-S. Wang and Y. Cui and K. Hara and Y. Dan-oh and C. Kasada and A. Shinpo,A High-Light-Harvesting-Efficiency Coumarin Dye for Stable Dye-Sensitized Solar Cells,Advanced Materials,19,10.1002/adma.200601020,1138--1141,8,,01/01/2007,Wang_2007,,,N#C/C(=C/c1ccc(s1)c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,coumarin,552.0,,ethanol
71,630.0,13.37,0.77,6.5,Iodide_Triiodide,0.25,-,-,"TiO2 film (7 um,+5 um scattering layer )",-,-,AM 1.5G 100mW/cm2,-,Zhong-Sheng Wang and Yan Cui and Yasufumi Dan-oh and Chiaki Kasada and Akira Shinpo and Kohjiro Hara,Molecular Design of Coumarin Dyes for Stable and Efficient Organic Dye-Sensitized Solar Cells,The Journal of Physical Chemistry C,112,10.1021/jp806927b,17011--17017,43,,01/01/2008,Wang_2008,,,N#C/C(=C\c1ccc(s1)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,510.0,,ethanol
72,510.0,14.32,0.73,5.3,Iodide_Triiodide,0.25,-,-,"TiO2 film (7 um,+5 um scattering layer )",-,-,AM 1.5G 100mW/cm2,-,Zhong-Sheng Wang and Yan Cui and Yasufumi Dan-oh and Chiaki Kasada and Akira Shinpo and Kohjiro Hara,Molecular Design of Coumarin Dyes for Stable and Efficient Organic Dye-Sensitized Solar Cells,The Journal of Physical Chemistry C,112,10.1021/jp806927b,17011--17017,43,,01/01/2008,Wang_2008,,,N#C/C(=C\c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,coumarin,566.0,,ethanol
84,620.0,15.5,0.7,6.7,Iodide_Triiodide,0.25,-,-,"TiO2 film (6 um,+ 6 um scattering layer )",-,-,AM 1.5G 100mW/cm2,-,Zhong-Sheng Wang and Kohjiro Hara and Yasufumi Dan-oh and Chiaki Kasada and Akira Shinpo and Sadaharu Suga and Hironori Arakawa and Hideki Sugihara,Photophysical and (Photo)electrochemical Properties of a Coumarin Dye,The Journal of Physical Chemistry B,109,10.1021/jp044851v,3907--3914,9,,01/01/2005,Wang_2005,,,N#C/C(=C\1/C=C(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)CC(C1)(C)C)/C(=O)O,coumarin,492.0,,ethanol
87,610.0,13.3,0.68,5.5,Iodide_Triiodide,0.2354,-,-,TiO2 film (18 um transparent layer+ 7 um scattering layer ),-,-,AM 1.5G 100mW/cm2,-,Zhong-Sheng Wang and Yan Cui and Yasufumi Dan-oh and Chiaki Kasada and Akira Shinpo and Kohjiro Hara,Thiophene-Functionalized Coumarin Dye for Efficient Dye-Sensitized Solar Cells:{\hspace{0.167em}} Electron Lifetime Improved by Coadsorption of Deoxycholic Acid,The Journal of Physical Chemistry C,111,10.1021/jp067872t,7224--7230,19,,01/01/2007,Wang_2007,,,N#C/C(=C/c1ccc(s1)/C=C/c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,525.0,,ethanol
94,410.0,4.1,0.56,0.9,Iodide_Triiodide,0.25,-,-,TiO2 film (13 um thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Yasuhiro Tachibana and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Dye-sensitized nanocrystalline {TiO}2 solar cells based on novel coumarin dyes,Solar Energy Materials and Solar Cells,77,10.1016/s0927-0248(02)00460-9,89--103,1,,01/01/2003,Hara_2003,,,OC(=O)c1cc2cc3CCCN4c3c(c2oc1=O)CCC4,coumarin,442.0,470.0,"methanol, tert-butyl alcohol-acetonitrile"
98,470.0,15.1,0.5,3.5,Iodide_Triiodide,0.25,-,-,TiO2 film (13 um thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Yasuhiro Tachibana and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Dye-sensitized nanocrystalline {TiO}2 solar cells based on novel coumarin dyes,Solar Energy Materials and Solar Cells,77,10.1016/s0927-0248(02)00460-9,89--103,1,,01/01/2003,Hara_2003,,,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,486.0,520.0,"methanol, tert-butyl alcohol-acetonitrile"
99,600.0,14.0,0.71,6.0,Iodide_Triiodide,0.25,-,-,TiO2 film (13 um thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Yasuhiro Tachibana and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Dye-sensitized nanocrystalline {TiO}2 solar cells based on novel coumarin dyes,Solar Energy Materials and Solar Cells,77,10.1016/s0927-0248(02)00460-9,89--103,1,,01/01/2003,Hara_2003,,,N#C/C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,504.0,560.0,"methanol, tert-butyl alcohol-acetonitrile"
102,491.0,2.461,0.635,0.767,Iodide_Triiodide,0.25,-,-,"TiO2 film (12 um,+4 um scattering layer )",-,-,AM 1.5G 100mW/cm2,-,Velappan Kandavelu and Hsin-Sian Huang and Jia-Liang Jian and Thomas C.-K. Yang and Kun-Li Wang and Sheng-Tung Huang,Novel iminocoumarin dyes as photosensitizers for dye-sensitized solar cell,Solar Energy,83,10.1016/j.solener.2008.10.002,574--581,4,,01/01/2009,Kandavelu_2009,,,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CCCC,iminocoumarin,450.0,502.0,DMSO
103,501.0,2.082,0.614,0.64,Iodide_Triiodide,0.25,-,-,"TiO2 film (12 um,+4 um scattering layer )",-,-,AM 1.5G 100mW/cm2,-,Velappan Kandavelu and Hsin-Sian Huang and Jia-Liang Jian and Thomas C.-K. Yang and Kun-Li Wang and Sheng-Tung Huang,Novel iminocoumarin dyes as photosensitizers for dye-sensitized solar cell,Solar Energy,83,10.1016/j.solener.2008.10.002,574--581,4,,01/01/2009,Kandavelu_2009,,,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CC,iminocoumarin,448.0,501.0,DMSO
