,SMILES,Name,MW,AlogP,HBA,HBD,RB,HeavyAtomCount,ChiralCenterCount,ChiralCenterCountAllPossible,RingCount,PSA,Estate,MR,Polar,SMILES,Electrolyte,Semiconductor,Solar simulator,Article DOI,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,VOC,JSC,FF,PCE
15,N#C/C(C(=O)O)=C/C=C/c(c(=O)o1)cc(c12)cc3c4c2C(C)(C)CCN4CCC3(C)C,16,418.4849,4.5306,3,0,4,31,0,0,4,94.54,76.503,120.7332,49.748,N#C/C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/s0927-0248(02)00460-9,coumarin,504.0,560.0,600.0,14.0,0.71,6.0
16,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)/C=C/C=C(/C#N)C(=O)O,17,338.3572,3.2504,3,0,5,25,0,0,2,94.54,67.669,96.3614,40.286,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,480.0,535.0,530.0,13.2,0.67,4.7
17,N#C/C(C(=O)O)=C\c(c1C(F)(F)F)c(=O)oc(c12)c3c4c(c2)C(C)(C)CCN4CCC3(C)C,18,460.4456,5.0051,3,0,4,33,0,0,4,94.54,97.42,116.3883,47.832,N#C/C(=C\c1c(=O)oc2c(c1C(F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,477.0,600.0,500.0,9.4,0.65,3.1
18,N#C/C(C(=O)O)=C/c(c(=O)o1)cc(c12)cc3c4c2C(C)(C)CCN4CCC3(C)C,19,392.4477,4.0628,3,0,3,29,0,0,4,94.54,72.503,110.4146,46.27,N#C/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,493.0,540.0,500.0,12.9,0.64,4.1
19,OC(=O)/C=C/c(c(=O)o1)cc(c12)cc3c4c2C(C)(C)CCN4CCC3(C)C,20,367.4382,4.117,2,0,2,27,0,0,4,70.75,64.336,105.0185,44.418,OC(=O)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,451.0,505.0,510.0,11.1,0.6,3.4
20,OC(=O)c(c(=O)o1)cc(c12)cc3c4c2CCCN4CCC3,21,285.2946,2.8399,2,0,1,21,0,0,4,70.75,52.836,76.7276,33.6,OC(=O)c1cc2cc3CCCN4c3c(c2oc1=O)CCC4,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,442.0,470.0,410.0,4.1,0.56,0.9
21,c1cccc(c12)c3c(n2CCCC)ccc(c3)-c4ccc(c(c45)nsn5)-c6ccc(cc6)C=C(C7SC(=S)N(C7=O)CC(=O)O)C8SC(=S)N(C8=O)CC(=O)O,22,838.029,9.3509,6,0,12,56,0,2,8,288.95,137.005,227.849,101.831,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(cc1)C=C(C1SC(=S)N(C1=O)CC(=O)O)C1SC(=S)N(C1=O)CC(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.04.016,"carbazole, benzothiadiazole",446.0,572.0,796.0,6.98,0.87,3.81
22,N#C/C(C(=O)O)=C/c1ccc(s1)-c2ccc(s2)-c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,23,556.695,7.3017,3,0,5,39,0,0,6,151.02,90.837,153.3736,68.986,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/chem.201301658,coumarin,511.0,572.0,581.0,14.66,0.6859999999999999,5.97
23,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3csc(n3)-c4ccc(s4)/C=C(/C#N)C(=O)O,24,477.5554,4.9755,4,0,6,33,0,0,4,163.91,83.003,127.9817,58.271,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)C=C(C(=O)O)C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,460.0,581.0,690.0,9.79,0.71,4.78
24,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3csc(n3)-c4ccc(s4)/C=C5/SC(=S)N(C5=O)CC(=O)O,25,583.722,5.7376,5,0,8,38,0,0,5,217.82,93.837,154.7189,68.833,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,489.0,607.0,500.0,0.96,0.69,0.33
25,CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(cc3)-c4ccc(s4)/C=C(/C#N)C(=O)O,26,470.5396,5.8671,3,0,6,34,0,0,4,122.78,84.17,132.6585,61.09,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,438.0,500.0,660.0,7.72,0.71,3.62
26,OC(=O)c1ccc(cc1)-c2ccccc2-c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,27,493.5928,6.7927,2,0,3,37,0,0,6,70.75,83.004,145.0474,66.788,OC(=O)c1ccc(cc1)c1ccccc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,407.0,485.0,554.0,2.98,0.63,1.04
27,OC(=O)c1ccc(cc1)-c2cccc(c2)-c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,28,493.5928,6.7927,2,0,3,37,0,0,6,70.75,83.004,145.0474,66.788,OC(=O)c1ccc(cc1)c1cccc(c1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,414.0,496.0,704.0,4.57,0.7240000000000001,2.33
28,OC(=O)c1ccc(cc1)-c2ccc(cc2)-c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,29,493.5928,6.7927,2,0,3,37,0,0,6,70.75,83.004,145.0474,66.788,OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,420.0,509.0,687.0,5.63,0.695,2.69
29,N#C/C(C(=O)O)=C\c1ccc(cc1)N(c2ccccc2)CCCCCCN3c(cccc4)c4Sc(c35)cc(cc5)/C=C(\C#N)C(=O)O,30,640.7501,8.6564,2,0,13,47,0,0,5,153.96,115.837,187.0461,84.184,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.011,phenothiazine,422.0,610.0,756.0,8.98,0.69,4.66
30,N#C/C(C(=O)O)=C\c1ccc(s1)-c2ccc(c(c23)nsn3)-c(c(=O)o4)cc(c45)cc6c7c5C(C)(C)CCN7CCC6(C)C,31,608.7298,7.2753,5,0,5,43,0,0,7,176.8,100.171,169.5504,74.838,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.015,coumarin,507.0,720.0,580.0,12.2,0.68,4.82
31,N#C/C(C(=O)O)=C\c1sc(c(c12)OCCO2)-c3ccc(c(c34)nsn4)-c(c(=O)o5)cc(c56)cc7c8c6C(C)(C)CCN8CCC7(C)C,32,666.7659,7.0611,7,0,3,47,0,0,8,195.26,109.505,180.5078,79.008,N#C/C(=C\c1sc(c2c1OCCO2)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.015,coumarin,520.0,720.0,550.0,10.8,0.66,3.93
32,N#C/C(C(=O)O)=C/c1ccc(s1)-c2ccc(s2)/C(C#N)=C/c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,33,607.7418,7.6086,4,0,6,43,0,0,6,174.81,103.004,169.0132,74.316,N#C/C(=C/c1ccc(s1)c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/adma.200601020,coumarin,552.0,,610.0,16.5,0.76,7.6
33,N#C/C(C(=O)O)=C\c1ccc(s1)/C=C/c(c(=O)o2)cc(c23)cc4c5c3C(C)(C)CCN5CCC4(C)C,34,500.6086,5.99,3,0,5,36,0,0,5,122.78,85.67,142.2127,61.106,N#C/C(=C\c1ccc(s1)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp806927b,coumarin,510.0,,630.0,13.37,0.77,6.5
34,N#C/C(C(=O)O)=C\c1ccc(s1)/C(C#N)=C/c(c(=O)o2)cc(c23)cc4c5c3C(C)(C)CCN5CCC4(C)C,35,525.6181,5.9358,4,0,5,38,0,0,5,146.57,93.837,147.5337,62.958,N#C/C(=C\c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp806927b,coumarin,566.0,,510.0,14.32,0.73,5.3
35,N#C/C(C(=O)O)=C(\CC1(C)C)C=C(C1)/C=C/c(c(=O)o2)cc(c23)cc4c5c3C(C)(C)CCN5CCC4(C)C,36,512.6392,6.4338,3,0,4,38,0,0,5,94.54,88.087,151.4383,61.627,N#C/C(=C\1/C=C(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)CC(C1)(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp044851v,coumarin,492.0,,620.0,15.5,0.7,6.7
36,N#C/C(C(=O)O)=C/c1ccc(s1)/C=C/c2ccc(s2)-c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,37,582.7323,7.5561,3,0,6,41,0,0,6,151.02,94.837,163.6922,72.464,N#C/C(=C/c1ccc(s1)/C=C/c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp067872t,coumarin,525.0,,610.0,13.3,0.68,5.5
37,CCCCN(CCCC)c(c1)ccc(c12)C=C3C(O2)=NC(c4ccc(O)c(c4)C(=O)O)n5c3nc6c5cccc6,38,536.6209,7.4802,4,1,9,40,0,1,6,100.18,89.837,153.0634,69.899,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,450.0,502.0,491.0,2.461,0.635,0.767
38,CCN(CC)c(c1)ccc(c12)C=C3C(O2)=NC(c4ccc(O)c(c4)C(=O)O)n5c3nc6c5cccc6,39,480.5146,5.5204,4,1,5,36,0,1,6,100.18,83.837,134.813,62.559,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,448.0,501.0,501.0,2.082,0.614,0.64
39,c1cccc(c1n23)nc3C=4C(=NC2c(cc5C(=O)O)ccc5O)Oc6c(C4)cc7c8c6CCCN8CCC7,40,504.536,5.8846,4,1,2,38,0,1,8,100.18,85.171,141.1374,64.681,OC(=O)c1cc(ccc1O)C1N=C2Oc3c(C=C2c2n1c1ccccc1n2)cc1c2c3CCCN2CCC1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,454.0,510.0,502.0,1.081,0.66,0.358
40,CCCCN(CCCC)c(c1)ccc(c12)C=C3C(O2)=NC(c4ccc(cc4)C(=O)O)n5c3nc6c5cccc6,41,520.6215,7.7476,3,0,9,39,0,1,6,79.95,84.17,151.3693,69.262,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(cc1)C(=O)O)CCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,454.0,504.0,470.0,1.912,0.69,0.581
41,CCN(CC)c(c1)ccc(c12)C=C3C(O2)=NC(c4ccc(cc4)C(=O)O)n5c3nc6c5cccc6,42,464.5152,5.7878,3,0,5,35,0,1,6,79.95,78.17,133.1189,61.922,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(cc1)C(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,451.0,503.0,441.0,1.754,0.6829999999999999,0.528
42,OC(=O)c1ccc(cc1)C2N=C(C=3c4nc(c5n24)cccc5)Oc6c(C3)cc7c8c6CCCN8CCC7,43,488.5366,6.152,3,0,2,37,0,1,8,79.95,79.504,139.4433,64.044,OC(=O)c1ccc(cc1)C1N=C2Oc3c(C=C2c2n1c1ccccc1n2)cc1c2c3CCCN2CCC1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,475.0,520.0,490.0,0.936,0.6509999999999999,0.299
43,c1cccc(c12)c3c(n2CCCC)ccc(c3)-c4cc(/C=C(/C#N)C(=O)O)c(s4)-c(c(=O)o5)cc(c56)cc7c8c6C(C)(C)CCN8CCC7(C)C,44,695.8683,10.1915,3,0,6,51,0,0,8,127.71,112.172,200.846,91.459,CCCCn1c2ccc(cc2c2c1cccc2)c1cc(c(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm32333h,coumarin,507.0,714.0,610.0,13.47,0.68,5.53
44,c1cccc(c12)C(CCCC)(CCCC)c3c2ccc(c3)-c4cc(/C=C(\C#N)C(=O)O)c(s4)-c(c(=O)o5)cc(c56)cc7c8c6C(C)(C)CCN8CCC7(C)C,45,750.9866,12.1122,3,0,9,55,0,0,8,122.78,117.922,222.4754,99.217,CCCCC1(CCCC)c2ccccc2c2c1cc(cc2)c1cc(c(s1)c1cc2cc3C(C)(C)CCN4c3c(c2oc1=O)C(C)(C)CC4)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm32333h,coumarin,478.0,625.0,561.0,10.5,0.68,4.02
45,N#C/C(C(=O)O)=C/c1cc(C)sc1-c(c(=O)o2)cc(c23)cc4c5c3C(C)(C)CCN5CCC4(C)C,46,488.5979,5.5897,3,0,4,35,0,0,5,122.78,83.337,137.1657,59.463,N#C/C(=C/c1cc(sc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm32333h,coumarin,467.0,617.0,508.0,7.61,0.7,2.74
46,N#C/C(C(=O)O)=C\c1ccc(s1)-c2ccc(s2)-c(c(=O)o3)cc(c34)ccc(c4)N(c5ccccc5)c6ccccc6,47,572.6529,8.4943,3,0,8,41,0,0,6,151.02,98.337,158.2377,78.032,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.09.163,coumarin,492.0,569.0,590.0,12.91,0.61,4.59
47,N#C/C(C(=O)O)=C\c1ccc(cc1)-c2ccc(s2)-c(c(=O)o3)cc(c34)ccc(c4)N(c5ccccc5)c6ccccc6,48,566.6252,8.4466,3,0,8,42,0,0,6,122.78,100.504,161.8944,79.598,N#C/C(=C\c1ccc(cc1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.09.163,coumarin,473.0,553.0,690.0,14.33,0.63,6.24
48,CCN(CC)c(c1)ccc(c12)C[C@@H](C(O2)=O)C(=O)O,49,263.2891,2.3635,2,0,4,19,1,1,2,66.84,50.668,70.6716,30.401,CCN(c1ccc2c(c1)OC(=O)[C@H](C2)C(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp5023696,coumarin,445.0,,550.0,2.18,0.69,1.03
