,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent,VOC,JSC,FF,PCE
49,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)C=C(C(=O)O)C#N)CC,coumarin,460.0,581.0,CH3OH-CHCl3,690.0,9.79,0.71,4.78
50,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,coumarin,489.0,607.0,CH3OH-CHCl3,500.0,0.96,0.69,0.33
51,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)CC,coumarin,438.0,500.0,CH3OH-CHCl3,660.0,7.72,0.71,3.62
52,OC(=O)c1ccc(cc1)c1ccccc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,407.0,485.0,acetonitrile,554.0,2.98,0.63,1.04
53,OC(=O)c1ccc(cc1)c1cccc(c1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,414.0,496.0,acetonitrile,704.0,4.57,0.7240000000000001,2.33
55,OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,420.0,509.0,acetonitrile,687.0,5.63,0.695,2.69
57,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,511.0,572.0,T-BuOH-AN,581.0,14.66,0.6859999999999999,5.97
58,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C(=O)O,phenothiazine,422.0,610.0,CH2Cl2/MeOH (1:1),756.0,8.98,0.69,4.66
59,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,507.0,720.0,CHCl3/MeOH,580.0,12.2,0.68,4.82
61,N#C/C(=C\c1sc(c2c1OCCO2)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,520.0,720.0,CHCl3/MeOH,550.0,10.8,0.66,3.93
68,N#C/C(=C/c1ccc(s1)c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,coumarin,552.0,,ethanol,610.0,16.5,0.76,7.6
71,N#C/C(=C\c1ccc(s1)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,510.0,,ethanol,630.0,13.37,0.77,6.5
72,N#C/C(=C\c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,coumarin,566.0,,ethanol,510.0,14.32,0.73,5.3
84,N#C/C(=C\1/C=C(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)CC(C1)(C)C)/C(=O)O,coumarin,492.0,,ethanol,620.0,15.5,0.7,6.7
87,N#C/C(=C/c1ccc(s1)/C=C/c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,525.0,,ethanol,610.0,13.3,0.68,5.5
94,OC(=O)c1cc2cc3CCCN4c3c(c2oc1=O)CCC4,coumarin,442.0,470.0,"methanol, tert-butyl alcohol-acetonitrile",410.0,4.1,0.56,0.9
95,OC(=O)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,451.0,505.0,"methanol, tert-butyl alcohol-acetonitrile",510.0,11.1,0.6,3.4
98,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,486.0,520.0,"methanol, tert-butyl alcohol-acetonitrile",470.0,15.1,0.5,3.5
99,N#C/C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,504.0,560.0,"methanol, tert-butyl alcohol-acetonitrile",600.0,14.0,0.71,6.0
102,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CCCC,coumarin,450.0,502.0,DMSO,491.0,2.461,0.635,0.767
103,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CC,coumarin,448.0,501.0,DMSO,501.0,2.082,0.614,0.64
104,OC(=O)c1cc(ccc1O)C1N=C2Oc3c(C=C2c2n1c1ccccc1n2)cc1c2c3CCCN2CCC1,coumarin,454.0,510.0,DMSO,502.0,1.081,0.66,0.358
105,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(cc1)C(=O)O)CCCC,coumarin,454.0,504.0,DMSO,470.0,1.912,0.69,0.581
106,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(cc1)C(=O)O)CC,coumarin,451.0,503.0,DMSO,441.0,1.754,0.6829999999999999,0.528
107,OC(=O)c1ccc(cc1)C1N=C2Oc3c(C=C2c2n1c1ccccc1n2)cc1c2c3CCCN2CCC1,coumarin,475.0,520.0,DMSO,490.0,0.936,0.6509999999999999,0.299
108,CCCCn1c2ccc(cc2c2c1cccc2)c1cc(c(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C=C(\C(=O)O)/C#N,coumarin,507.0,714.0,CHCl3,610.0,13.47,0.68,5.53
110,CCCCC1(CCCC)c2ccccc2c2c1cc(cc2)c1cc(c(s1)c1cc2cc3C(C)(C)CCN4c3c(c2oc1=O)C(C)(C)CC4)/C=C(/C(=O)O)\C#N,coumarin,478.0,625.0,CHCl3,561.0,10.5,0.68,4.02
112,N#C/C(=C/c1cc(sc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C)/C(=O)O,coumarin,467.0,617.0,CHCl3,508.0,7.61,0.7,2.74
114,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,coumarin,492.0,569.0,CH3OH-CHCl3,590.0,12.91,0.61,4.59
115,N#C/C(=C\c1ccc(cc1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,coumarin,473.0,553.0,CH3OH-CHCl3,690.0,14.33,0.63,6.24
116,CCN(c1ccc2c(c1)OC(=O)[C@H](C2)C(=O)O)CC,coumarin,445.0,,acetonitrile,550.0,2.18,0.69,1.03
121,N#C/C(=C\c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,coumarin,489.0,566.0,CH3OH-CHCl3,540.0,9.52,0.65,3.36
125,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nsn2)C#Cc1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,512.0,619.0,ethanol,537.0,3.83,0.6559999999999999,1.35
127,N#C/C(=C/c1ccc(cc1)c1ccc(c2c1nsn2)C#Cc1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,490.0,578.0,ethanol,678.0,13.31,0.6970000000000001,6.29
132,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)F)/C=C(\C(=O)O)/C#N)CC,coumarin,450.0,,ethanol:dichloromethane,760.0,10.4,0.72,5.2
133,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)Cl)/C=C(\C(=O)O)/C#N)CC,coumarin,442.0,,ethanol:dichloromethane,748.0,8.3,0.73,4.1
134,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)Br)/C=C(\C(=O)O)/C#N)CC,coumarin,433.0,,ethanol:dichloromethane,731.0,7.5,0.71,3.5
135,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\C(=O)O)/C#N)CC,coumarin,420.0,510.0,Acetonitrile-DMSO,709.0,6.79,0.7,3.1
142,N#CC(=Cc1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,coumarin,515.0,605.0,CHCl3-CH3OH,620.0,10.94,0.7,4.7
144,N#CC(=Cc1ccc(s1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,coumarin,497.0,581.0,CHCl3-CH3OH,610.0,12.97,0.64,5.06
146,N#CC(=Cc1ccc(cc1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,coumarin,493.0,572.0,CHCl3-CH3OH,670.0,14.53,0.61,5.94
148,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,carbazole,468.0,589.0,chloroform,720.0,10.9,0.57,2.48
150,N#C/C(=C/c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,carbazole,438.0,585.0,chloroform,610.0,8.47,0.6,2.39
157,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C)/C(=O)O,carbazole,461.0,,THF,530.0,10.41,0.72,3.96
160,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C,carbazole,464.0,,THF,550.0,7.01,0.74,2.85
174,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N,carbazole,480.0,,20%THF-toluene,700.0,14.5,0.69,7.3
175,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N,carbazole,483.0,,20%THF-toluene,650.0,16.0,0.71,8.1
178,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N)CC,phenothiazine,462.0,,Dichloromethane,675.0,12.52,0.6759999999999999,5.6
183,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1OCCCC)OCCCC)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,457.0,,dichloromethane,706.0,16.36,0.645,7.5
186,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1ccc2c(c1)c1ccccc1n2CC,carbazole,474.0,,20%THF-toluene,792.0,10.2,0.65,5.1
187,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccccc1,carbazole,473.0,,20%THF-toluene,580.0,9.71,0.72,5.3
188,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccc(cc1)OC,carbazole,472.0,,20%THF-toluene,660.0,9.73,0.72,5.4
189,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,carbazole,445.0,557.0,THF,938.0,3.9,0.6809999999999999,1.56
190,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2c1ccccc1)C(=O)O,carbazole,474.0,589.0,THF,627.0,7.37,0.6859999999999999,3.29
191,CCCCC(Cn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,carbazole,484.0,628.0,THF,620.0,8.3,0.738,3.8
192,CCCCC(COc1ccc(cc1)n1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,carbazole,476.0,595.0,THF,632.0,4.85,0.735,2.36
193,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)n(c1ccccc1)c1c2cccc1)C(=O)O,carbazole,459.0,560.0,THF,639.0,3.22,0.73,1.53
194,CCCCC(COc1ccc(cc1)n1c2ccccc2c2c1cc(cc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,carbazole,461.0,557.0,THF,673.0,2.43,0.711,1.2
195,CCCCCCn1c(c2ccc(cc2)c2ccc3c(c2)Sc2c(N3CCCCCC)cccc2)c2c(c1=O)c(n(c2=O)CCCCCC)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,phenothiazine,500.0,,dichloromethane,638.0,9.68,0.74,4.56
199,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)cccc1,phenothiazine,496.0,661.0,Dichloromethane,820.0,12.98,0.6,6.44
200,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,495.0,662.0,Dichloromethane,820.0,14.0,0.64,7.38
201,CCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,475.0,655.0,Dichloromethane,780.0,12.87,0.65,6.52
202,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1,phenothiazine,478.0,675.0,Dichloromethane,820.0,10.25,0.6,5.05
205,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CC,phenothiazine,484.0,,Dichloromethane,525.0,3.94,0.628,1.3
206,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,phenothiazine,477.0,,Dichloromethane,425.0,1.57,0.635,0.4
207,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C=C(/C(=O)O)\C#N)CC,phenothiazine,469.0,,Dichloromethane,675.0,14.96,0.682,6.8
208,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)N1CCCC1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,phenothiazine,536.0,659.0,Dichloromethane,575.0,1.28,0.58,0.5
209,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccccc2c2c1cccc2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,phenothiazine,478.0,657.0,Dichloromethane,615.0,3.64,0.57,1.3
210,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)N1c2ccccc2Sc2c1cccc2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,phenothiazine,472.0,636.0,Dichloromethane,698.0,3.87,0.65,1.8
211,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1,phenothiazine,503.0,688.0,Dichloromethane,683.0,4.46,0.6,1.9
212,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1)C)/C=C/1\SC(=S)N(C1=O)CC(=O)O,phenothiazine,471.0,655.0,Dichloromethane,638.0,3.33,0.57,1.2
213,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)C#N)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,phenothiazine,462.0,630.0,Dichloromethane,613.0,1.07,0.53,0.4
214,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)Br)CCCCCCCCCC,phenothiazine,473.0,643.0,Dichloromethane,627.0,1.77,0.59,0.6
215,CCCCCCCCCCCC[C@H](CN1c2ccccc2Sc2c1ccc(c2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,phenothiazine,478.0,651.0,Dichloromethane,607.0,2.0,0.58,0.7
216,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)OC[C@H](CCCC)CC)c1ccc(s1)[C@@H]1[C@H]([O-])/C(=C/[C@@H]2[NH+](CCCCCCCC)c3c(C2(C)C)cc(cc3)C(=O)O)/C1=O,phenothiazine,653.0,775.0,THF,411.0,3.1,0.7240000000000001,0.9
217,CCSc1cc2c(cc1C=C(C(=O)O)C#N)Sc1c(N2c2ccc(cc2)OC)cccc1,phenothiazine,492.0,649.0,dichloromethane,818.5,9.23,0.7597,5.74
218,CCCCN1c2cc(SCC)c(cc2Sc2c1cccc2)C=C(C(=O)O)C#N,phenothiazine,472.0,652.0,dichloromethane,768.7,10.26,0.7224,5.7
219,COc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)C=C(C(=O)O)C#N,phenothiazine,476.0,637.0,dichloromethane,781.7,10.2,0.755,6.02
220,CCCCN1c2ccc(cc2Sc2c1cccc2)C=C(C(=O)O)C#N,phenothiazine,456.0,639.0,dichloromethane,730.6,10.98,0.7213,5.78
221,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccc2c(c1)C(CCC)(CCC)c1c2cccc1)c1ccc2c(c1)C(CCC)(CCC)c1c2cccc1,phenothiazine,464.0,,dichloromethane,734.0,13.01,0.68,6.49
224,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C(=O)O)C#N)N(c1ccc(cc1)C(c1ccccc1)(C)C)c1ccc(cc1)C(c1ccccc1)(C)C,phenothiazine,478.0,,dichloromethane,705.0,12.63,0.69,6.14
225,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)C=C(C(=O)O)C#N)c1ccc2c(c1)c1ccccc1n2CCCCCC,phenothiazine,470.0,,dichloromethane,748.0,14.02,0.68,7.13
226,CCCCCCN1c2ccc(cc2Sc2c1cccc2)C=C(C(=O)O)C#N,phenothiazine,453.0,,dichloromethane,710.0,12.96,0.71,6.63
227,CCCCCCc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,phenothiazine,436.0,,DMF,636.0,18.692,0.6137,7.3
228,CCCCCCc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(s1)/C=C(\C(=O)O)/C#N,phenothiazine,445.0,,DMF,606.0,15.864,0.6287,6.04
230,N#C/C(=C\c1ccc(s1)c1ccc2c(c1)C(CC)(CC)c1c2ccc(c1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,429.0,,dichloromethane,690.0,9.36,0.69,4.47
231,CCN1c2ccc(cc2Sc2c1cccc2)/C=C/c1sc(c2c1OCCO2)/C=C(/C(=O)O)\C#N,phenothiazine,473.0,595.0,Dimethylformamide,645.0,15.18,0.69,6.72
232,CCCCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C/c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,phenothiazine,496.0,,Dichloromethane,708.0,11.69,0.653,5.4
233,CCCCCCCCN1c2ccc(cc2Sc2c1cccc2)/C=C\c1sc(cc1/C=C/c1ccc2c(c1)Sc1c(N2CCCCCCCC)cccc1)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,508.0,,Dichloromethane,706.0,7.14,0.556,2.8
235,CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N)N1c2ccccc2Sc2c1ccc(c2)C=C1c2ccccc2c2c1cccc2,phenothiazine,453.0,,dichloromethane,635.0,6.71,0.66,2.83
240,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1sc(cc1CCCCCC)c1cc[n+](cc1)C(=O)O)c1ccc(cc1OCCCCCC)OCCCCCC,phenothiazine,520.0,,dichloromethane,706.0,13.1,0.723,6.7
249,N#C/C(=C\c1ccc2c(c1)Sc1c(N2Cc2ccc(cc2)CN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,phenothiazine,439.0,577.0,THF,740.0,6.98,0.69,3.56
250,N#C/C(=C\c1ccc2c(c1)Sc1c(N2CCCCN2c3ccccc3Sc3c2ccc(c3)/C=C(/C(=O)O)\C#N)cccc1)/C(=O)O,phenothiazine,433.0,589.0,THF,740.0,7.86,0.71,4.13
251,CCCCCCn1c(c2ccc(cc2)c2ccc3c(c2)Sc2c(N3CCCCCC)cccc2)c2c(c1=O)c(n(c2=O)CCCCCC)c1ccc(cc1)/C=C(/C(=O)O)\C#N,phenothiazine,523.0,,dichloromethane,628.0,6.94,0.75,3.26
252,CCCCCCn1c(c2ccc(cc2)c2ccc(cc2)/C=C(/C(=O)O)\C#N)c2c(c1=O)c(n(c2=O)CCCCCC)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1,phenothiazine,526.0,,dichloromethane,656.0,11.65,0.68,5.16
255,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=c/1\s/c(=C(/C(=O)O)\C#N)/nc1c1ccccc1)c1ccc(cc1OCCCCCC)OCCCCCC,phenothiazine,638.0,,dichloromethane,540.0,13.9,0.715,5.4
257,N#C/C(=C/c1ccc(cc1)N(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O,phenothiazine,433.0,530.0,dichloromethane,660.0,8.5,0.79,4.4
267,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)c1cc(c(s1)/C=C(/C(=O)O)\C#N)CCCCCC)c1ccc(s1)c1cc(c(s1)/C=C(\C(=O)O)/C#N)CCCCCC)CC,phenothiazine,484.0,743.0,Tetrahydrofuran,690.0,15.88,0.67,7.31
269,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)c1cc(c(s1)/C=C(/C(=O)O)\C#N)CCCCCC)c1cc(c(s1)/C=C(\C(=O)O)/C#N)CCCCCC)CC,phenothiazine,475.0,648.0,Tetrahydrofuran,680.0,14.82,0.68,6.85
271,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(s1)/C=C(\C(=O)O)/C#N)CC,phenothiazine,469.0,655.0,Tetrahydrofuran,660.0,12.27,0.68,5.53
273,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)c1ccc(s1)/C=C(\C(=O)O)/C#N)CC,phenothiazine,444.0,656.0,Tetrahydrofuran,690.0,10.23,0.7,4.91
