Name,SMILES,Electrolyte,Semiconductor,Solar simulator,Article DOI,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,VOC,JSC,FF,PCE
17,OC(=O)C[n+]1c(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)sc2c1cccc2,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,578.0,673.0,380.0,4.5,0.63,1.1
18,OC(=O)c1ccc2c(c1)C(C)(C)C(=[N+]2C)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,616.0,490.0,340.0,2.7,0.63,0.6
19,OC(=O)CN1C(=S)S/C(=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)/C1=O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,539.0,580.0,490.0,7.5,0.7,2.6
20,OC(=O)C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,506.0,610.0,480.0,12.8,0.6,3.7
21,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,486.0,520.0,470.0,15.1,0.5,3.5
68,N#C/C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/s0927-0248(02)00460-9,coumarin,504.0,560.0,600.0,14.0,0.71,6.0
23,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,480.0,535.0,530.0,13.2,0.67,4.7
24,N#C/C(=C\c1c(=O)oc2c(c1C(F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,477.0,600.0,500.0,9.4,0.65,3.1
25,N#C/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,493.0,540.0,500.0,12.9,0.64,4.1
26,OC(=O)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,451.0,505.0,510.0,11.1,0.6,3.4
27,OC(=O)c1cc2cc3CCCN4c3c(c2oc1=O)CCC4,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,442.0,470.0,410.0,4.1,0.56,0.9
28,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(cc1)C=C(C1SC(=S)N(C1=O)CC(=O)O)C1SC(=S)N(C1=O)CC(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.04.016,"carbazole, benzothiadiazole",446.0,572.0,796.0,6.98,0.87,3.81
38,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/chem.201301658,coumarin,511.0,572.0,581.0,14.66,0.6859999999999999,5.97
32,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)C=C(C(=O)O)C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,460.0,581.0,690.0,9.79,0.71,4.78
33,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,489.0,607.0,500.0,0.96,0.69,0.33
34,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,438.0,500.0,660.0,7.72,0.71,3.62
35,OC(=O)c1ccc(cc1)c1ccccc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,407.0,485.0,554.0,2.98,0.63,1.04
36,OC(=O)c1ccc(cc1)c1cccc(c1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,414.0,496.0,704.0,4.57,0.7240000000000001,2.33
37,OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,420.0,509.0,687.0,5.63,0.695,2.69
39,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.011,phenothiazine,422.0,610.0,756.0,8.98,0.69,4.66
40,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.015,coumarin,507.0,720.0,580.0,12.2,0.68,4.82
41,N#C/C(=C\c1sc(c2c1OCCO2)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.015,coumarin,520.0,720.0,550.0,10.8,0.66,3.93
43,N#C/C(=C/c1ccc(s1)c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/adma.200601020,coumarin,552.0,,610.0,16.5,0.76,7.6
46,N#C/C(=C\c1ccc(s1)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp806927b,coumarin,510.0,,630.0,13.37,0.77,6.5
47,N#C/C(=C\c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp806927b,coumarin,566.0,,510.0,14.32,0.73,5.3
58,N#C/C(=C\1/C=C(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)CC(C1)(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp044851v,coumarin,492.0,,620.0,15.5,0.7,6.7
61,N#C/C(=C/c1ccc(s1)/C=C/c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp067872t,coumarin,525.0,,610.0,13.3,0.68,5.5
69,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,450.0,502.0,491.0,2.461,0.635,0.767
70,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,448.0,501.0,501.0,2.082,0.614,0.64
71,OC(=O)c1cc(ccc1O)C1N=C2Oc3c(C=C2c2n1c1ccccc1n2)cc1c2c3CCCN2CCC1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,454.0,510.0,502.0,1.081,0.66,0.358
72,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(cc1)C(=O)O)CCCC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,454.0,504.0,470.0,1.912,0.69,0.581
73,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(cc1)C(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,451.0,503.0,441.0,1.754,0.6829999999999999,0.528
74,OC(=O)c1ccc(cc1)C1N=C2Oc3c(C=C2c2n1c1ccccc1n2)cc1c2c3CCCN2CCC1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,475.0,520.0,490.0,0.9359999999999999,0.6509999999999999,0.299
75,CCCCn1c2ccc(cc2c2c1cccc2)c1cc(c(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm32333h,coumarin,507.0,714.0,610.0,13.47,0.68,5.53
76,CCCCC1(CCCC)c2ccccc2c2c1cc(cc2)c1cc(c(s1)c1cc2cc3C(C)(C)CCN4c3c(c2oc1=O)C(C)(C)CC4)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm32333h,coumarin,478.0,625.0,561.0,10.5,0.68,4.02
77,N#C/C(=C/c1cc(sc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm32333h,coumarin,467.0,617.0,508.0,7.61,0.7,2.74
78,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.09.163,coumarin,492.0,569.0,590.0,12.91,0.61,4.59
79,N#C/C(=C\c1ccc(cc1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.09.163,coumarin,473.0,553.0,690.0,14.33,0.63,6.24
80,CCN(c1ccc2c(c1)OC(=O)[C@H](C2)C(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp5023696,coumarin,445.0,,550.0,2.18,0.69,1.03
82,N#C/C(=C\c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.09.163,coumarin,489.0,566.0,540.0,9.52,0.65,3.36
84,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nsn2)C#Cc1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2017.01.115,coumarin,512.0,619.0,537.0,3.83,0.6559999999999999,1.35
85,N#C/C(=C/c1ccc(cc1)c1ccc(c2c1nsn2)C#Cc1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2017.01.115,coumarin,490.0,578.0,678.0,13.31,0.6970000000000001,6.29
88,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)F)/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2017.06.013,coumarin,450.0,,760.0,10.4,0.72,5.2
89,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)Cl)/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2017.06.013,coumarin,442.0,,748.0,8.3,0.73,4.1
90,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)Br)/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2017.06.013,coumarin,433.0,,731.0,7.5,0.71,3.5
93,N#CC(=Cc1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G,10.1007/s11164-017-2962-z,coumarin,515.0,605.0,620.0,10.94,0.7,4.7
95,N#CC(=Cc1ccc(s1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G,10.1007/s11164-017-2962-z,coumarin,497.0,581.0,610.0,12.97,0.64,5.06
97,N#CC(=Cc1ccc(cc1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G,10.1007/s11164-017-2962-z,coumarin,493.0,572.0,670.0,14.53,0.61,5.94
99,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp1055842,carbazole,468.0,589.0,720.0,10.9,0.57,2.48
100,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C1SC(=S)N(C1=O)CC(=O)O)C1SC(=S)N(C1=O)CC(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.04.016,"carbazole, benzothiadiazole",507.0,596.0,710.0,4.12,0.71,1.65
101,N#C/C(=C/c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp1055842,carbazole,438.0,585.0,610.0,8.47,0.6,2.39
102,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5ra02720a,carbazole,461.0,,640.0,10.41,0.72,3.96
103,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5ra02720a,carbazole,464.0,,720.0,7.01,0.74,2.85
114,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5 G,10.1039/b905831a,carbazole,483.0,,650.0,16.0,0.71,8.1
113,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5 G,10.1039/b905831a,carbazole,480.0,,700.0,14.5,0.69,7.3
517,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,Iodide_Triiodide,TiO2,AM 1.5G,10.1021/cm8003276,carbazole,,,730.0,15.22,0.75,8.3
115,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/ef900207y,phenothiazine,462.0,,675.0,12.52,0.6759999999999999,5.6
116,OC(=O)CN1C(=S)S/C(=C\c2ccc(cc2)N(c2ccc(cc2)N2c3ccccc3Sc3c2cccc3)c2ccc(cc2)N2c3ccccc3Sc3c2cccc3)/C1=O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2011.12.009,"triphenylamine, phenothiazine",468.0,543.0,570.0,4.7,0.78,2.1
117,CCCCC(Cn1c2c3n(CC(CCCC)CC)c4c(c3sc2c2c1sc(c2)/C=C(\C(=O)O)/C#N)sc(c4)/C=C(/C(=O)O)\C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2015.01.005,oligothiophene,555.0,,580.0,13.75,0.69,5.52
118,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1OCCCC)OCCCC)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c4ra01858c,phenothiazine,457.0,,706.0,16.36,0.645,7.5
119,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.04.016,"carbazole, benzothiadiazole",486.0,593.0,730.0,12.08,0.69,5.07
120,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(cc1)/C=C(\C(=O)O)/C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.04.016,"carbazole, benzothiadiazole",441.0,568.0,767.0,10.99,0.69,5.4
121,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1ccc2c(c1)c1ccccc1n2CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2011.08.016,carbazole,474.0,,792.0,10.2,0.65,5.1
122,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2011.08.016,carbazole,473.0,,580.0,9.71,0.72,5.3
123,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccc(cc1)OC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2011.08.016,carbazole,472.0,,660.0,9.73,0.72,5.4
124,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,445.0,557.0,938.0,3.9,0.6809999999999999,1.56
125,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2c1ccccc1)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,474.0,589.0,627.0,7.37,0.6859999999999999,3.29
126,CCCCC(Cn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,484.0,628.0,620.0,8.3,0.738,3.8
127,CCCCC(COc1ccc(cc1)n1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,476.0,595.0,632.0,4.85,0.735,2.36
128,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)n(c1ccccc1)c1c2cccc1)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,459.0,560.0,639.0,3.22,0.73,1.53
129,CCCCC(COc1ccc(cc1)n1c2ccccc2c2c1cc(cc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,461.0,557.0,673.0,2.43,0.711,1.2
130,CCCCCCn1c(c2ccc(cc2)c2ccc3c(c2)Sc2c(N3CCCCCC)cccc2)c2c(c1=O)c(n(c2=O)CCCCCC)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.08.030,phenothiazine,500.0,,638.0,9.68,0.74,4.56
131,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)cccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm35556f,phenothiazine,496.0,661.0,820.0,12.98,0.6,6.44
132,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm35556f,phenothiazine,495.0,662.0,820.0,14.0,0.64,7.38
133,CCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm35556f,phenothiazine,475.0,655.0,780.0,12.87,0.65,6.52
134,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm35556f,phenothiazine,478.0,675.0,820.0,10.25,0.6,5.05
236,CCCCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm35556f,phenothiazine,477.0,676.0,690.0,13.2,0.62,5.63
