Name,SMILES,VOC,JSC,FF,PCE,Electrolyte,Semiconductor,Solar simulator,Article DOI,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima
17,OC(=O)C[n+]1c(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)sc2c1cccc2,380,4.5,0.63,1.1,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,578,673
18,OC(=O)c1ccc2c(c1)C(C)(C)C(=[N+]2C)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,340,2.7,0.63,0.6,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,616,490
19,OC(=O)CN1C(=S)S/C(=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)/C1=O,490,7.5,0.7,2.6,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,539,580
20,OC(=O)C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C(=O)O,480,12.8,0.6,3.7,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,506,610
21,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,470,15.1,0.5,3.5,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,486,520
68,N#C/C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,600,14,0.71,6,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/s0927-0248(02)00460-9,coumarin,504,560
23,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/C=C(\C(=O)O)/C#N)CC,530,13.2,0.67,4.7,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,480,535
24,N#C/C(=C\c1c(=O)oc2c(c1C(F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C)/C(=O)O,500,9.4,0.65,3.1,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,477,600
25,N#C/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,500,12.9,0.64,4.1,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,493,540
26,OC(=O)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,510,11.1,0.6,3.4,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,451,505
27,OC(=O)c1cc2cc3CCCN4c3c(c2oc1=O)CCC4,410,4.1,0.56,0.9,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,442,470
28,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(cc1)C=C(C1SC(=S)N(C1=O)CC(=O)O)C1SC(=S)N(C1=O)CC(=O)O,796,6.98,0.87,3.81,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.04.016,"carbazole, benzothiadiazole",446,572
38,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,581,14.66,0.686,5.97,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1002/chem.201301658,coumarin,511,572
32,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)C=C(C(=O)O)C#N)CC,690,9.79,0.71,4.78,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,460,581
33,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,500,0.96,0.69,0.33,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,489,607
34,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)CC,660,7.72,0.71,3.62,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,438,500
35,OC(=O)c1ccc(cc1)c1ccccc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,554,2.98,0.63,1.04,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,407,485
36,OC(=O)c1ccc(cc1)c1cccc(c1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,704,4.57,0.724,2.33,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,414,496
37,OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,687,5.63,0.695,2.69,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,420,509
39,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C(=O)O,756,8.98,0.69,4.66,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.011,phenothiazine,422,610
40,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,580,12.2,0.68,4.82,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.015,coumarin,507,720
41,N#C/C(=C\c1sc(c2c1OCCO2)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,550,10.8,0.66,3.93,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.015,coumarin,520,720
43,N#C/C(=C/c1ccc(s1)c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,610,16.5,0.76,7.6,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1002/adma.200601020,coumarin,552,
46,N#C/C(=C\c1ccc(s1)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,630,13.37,0.77,6.5,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp806927b,coumarin,510,
47,N#C/C(=C\c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,510,14.32,0.73,5.3,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp806927b,coumarin,566,
58,N#C/C(=C\1/C=C(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)CC(C1)(C)C)/C(=O)O,620,15.5,0.7,6.7,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp044851v,coumarin,492,
61,N#C/C(=C/c1ccc(s1)/C=C/c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,610,13.3,0.68,5.5,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp067872t,coumarin,525,
69,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CCCC,491,2.461,0.635,0.767,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,450,502
70,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CC,501,2.082,0.614,0.64,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,448,501
71,OC(=O)c1cc(ccc1O)C1N=C2Oc3c(C=C2c2n1c1ccccc1n2)cc1c2c3CCCN2CCC1,502,1.081,0.66,0.358,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,454,510
72,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(cc1)C(=O)O)CCCC,470,1.912,0.69,0.581,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,454,504
73,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(cc1)C(=O)O)CC,441,1.754,0.683,0.528,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,451,503
74,OC(=O)c1ccc(cc1)C1N=C2Oc3c(C=C2c2n1c1ccccc1n2)cc1c2c3CCCN2CCC1,490,0.936,0.651,0.299,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.solener.2008.10.002,iminocoumarin,475,520
75,CCCCn1c2ccc(cc2c2c1cccc2)c1cc(c(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C=C(\C(=O)O)/C#N,610,13.47,0.68,5.53,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm32333h,coumarin,507,714
76,CCCCC1(CCCC)c2ccccc2c2c1cc(cc2)c1cc(c(s1)c1cc2cc3C(C)(C)CCN4c3c(c2oc1=O)C(C)(C)CC4)/C=C(/C(=O)O)\C#N,561,10.5,0.68,4.02,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm32333h,coumarin,478,625
77,N#C/C(=C/c1cc(sc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C)/C(=O)O,508,7.61,0.7,2.74,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm32333h,coumarin,467,617
78,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,590,12.91,0.61,4.59,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.09.163,coumarin,492,569
79,N#C/C(=C\c1ccc(cc1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,690,14.33,0.63,6.24,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.09.163,coumarin,473,553
80,CCN(c1ccc2c(c1)OC(=O)[C@H](C2)C(=O)O)CC,550,2.18,0.69,1.03,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp5023696,coumarin,445,
82,N#C/C(=C\c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,540,9.52,0.65,3.36,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.09.163,coumarin,489,566
84,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nsn2)C#Cc1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,537,3.83,0.656,1.35,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2017.01.115,coumarin,512,619
85,N#C/C(=C/c1ccc(cc1)c1ccc(c2c1nsn2)C#Cc1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,678,13.31,0.697,6.29,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2017.01.115,coumarin,490,578
88,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)F)/C=C(\C(=O)O)/C#N)CC,760,10.4,0.72,5.2,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2017.06.013,coumarin,450,
89,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)Cl)/C=C(\C(=O)O)/C#N)CC,748,8.3,0.73,4.1,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2017.06.013,coumarin,442,
90,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)Br)/C=C(\C(=O)O)/C#N)CC,731,7.5,0.71,3.5,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2017.06.013,coumarin,433,
93,N#CC(=Cc1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,620,10.94,0.7,4.7,I/I3,TiO2,AM 1.5G,10.1007/s11164-017-2962-z,coumarin,515,605
95,N#CC(=Cc1ccc(s1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,610,12.97,0.64,5.06,I/I3,TiO2,AM 1.5G,10.1007/s11164-017-2962-z,coumarin,497,581
97,N#CC(=Cc1ccc(cc1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,670,14.53,0.61,5.94,I/I3,TiO2,AM 1.5G,10.1007/s11164-017-2962-z,coumarin,493,572
99,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,720,10.9,0.57,2.48,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp1055842,carbazole,468,589
100,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C1SC(=S)N(C1=O)CC(=O)O)C1SC(=S)N(C1=O)CC(=O)O,710,4.12,0.71,1.65,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.04.016,"carbazole, benzothiadiazole",507,596
101,N#C/C(=C/c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,610,8.47,0.6,2.39,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jp1055842,carbazole,438,585
102,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C)/C(=O)O,640,10.41,0.72,3.96,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c5ra02720a,carbazole,461,
103,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C,720,7.01,0.74,2.85,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c5ra02720a,carbazole,464,
114,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N,650,16,0.71,8.1,I/I3,TiO2,AM 1.5 G,10.1039/b905831a,carbazole,483,
113,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N,700,14.5,0.69,7.3,I/I3,TiO2,AM 1.5 G,10.1039/b905831a,carbazole,480,
517,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)c1ccccc1n2CC,730,15.22,0.75,8.3,I/I3,TiO2,AM 1.5G,10.1021/cm8003276,carbazole,,
115,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N)CC,675,12.52,0.676,5.6,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/ef900207y,phenothiazine,462,
116,OC(=O)CN1C(=S)S/C(=C\c2ccc(cc2)N(c2ccc(cc2)N2c3ccccc3Sc3c2cccc3)c2ccc(cc2)N2c3ccccc3Sc3c2cccc3)/C1=O,570,4.7,0.78,2.1,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2011.12.009,"triphenylamine, phenothiazine",468,543
117,CCCCC(Cn1c2c3n(CC(CCCC)CC)c4c(c3sc2c2c1sc(c2)/C=C(\C(=O)O)/C#N)sc(c4)/C=C(/C(=O)O)\C#N)CC,580,13.75,0.69,5.52,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2015.01.005,oligothiophene,555,
118,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1OCCCC)OCCCC)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,706,16.36,0.645,7.5,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c4ra01858c,phenothiazine,457,
119,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)/C=C(\C(=O)O)/C#N,730,12.08,0.69,5.07,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.04.016,"carbazole, benzothiadiazole",486,593
120,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(cc1)/C=C(\C(=O)O)/C#N,767,10.99,0.69,5.4,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.04.016,"carbazole, benzothiadiazole",441,568
121,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1ccc2c(c1)c1ccccc1n2CC,792,10.2,0.65,5.1,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2011.08.016,carbazole,474,
122,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccccc1,580,9.71,0.72,5.3,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2011.08.016,carbazole,473,
123,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccc(cc1)OC,660,9.73,0.72,5.4,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2011.08.016,carbazole,472,
124,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,938,3.9,0.681,1.56,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,445,557
125,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2c1ccccc1)C(=O)O,627,7.37,0.686,3.29,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,474,589
126,CCCCC(Cn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,620,8.3,0.738,3.8,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,484,628
127,CCCCC(COc1ccc(cc1)n1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,632,4.85,0.735,2.36,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,476,595
128,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)n(c1ccccc1)c1c2cccc1)C(=O)O,639,3.22,0.73,1.53,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,459,560
129,CCCCC(COc1ccc(cc1)n1c2ccccc2c2c1cc(cc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,673,2.43,0.711,1.2,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2013.07.002,carbazole,461,557
130,CCCCCCn1c(c2ccc(cc2)c2ccc3c(c2)Sc2c(N3CCCCCC)cccc2)c2c(c1=O)c(n(c2=O)CCCCCC)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,638,9.68,0.74,4.56,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.jpowsour.2014.08.030,phenothiazine,500,
131,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)cccc1,820,12.98,0.6,6.44,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm35556f,phenothiazine,496,661
132,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,820,14,0.64,7.38,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm35556f,phenothiazine,495,662
133,CCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,780,12.87,0.65,6.52,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm35556f,phenothiazine,475,655
134,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1,820,10.25,0.6,5.05,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm35556f,phenothiazine,478,675
236,CCCCCCN1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,690,13.2,0.62,5.63,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1039/c2jm35556f,phenothiazine,477,676
136,CCN(c1ccc(cc1)/C=C(/C(=O)O)\C#N)CC,540,3.64,0.65,1.29,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1016/j.synthmet.2015.02.016,diethylamino,385,
137,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CC,525,3.94,0.628,1.3,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/ef900207y,phenothiazine,484,
138,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,425,1.57,0.635,0.4,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/ef900207y,phenothiazine,477,
139,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C=C(/C(=O)O)\C#N)CC,675,14.96,0.682,6.8,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/ef900207y,phenothiazine,469,
140,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)N1CCCC1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,575,1.28,0.58,0.5,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jo202608w,phenothiazine,536,659
141,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccccc2c2c1cccc2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,615,3.64,0.57,1.3,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jo202608w,phenothiazine,478,657
142,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)N1c2ccccc2Sc2c1cccc2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,698,3.87,0.65,1.8,I/I3,TiO2,AM 1.5G 100mW/cm2,10.1021/jo202608w,phenothiazine,472,636
