,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,RuleOfThree,#ringatoms,#in34,#in56,#noncon,#nonHatm,Jm,SMILES,Electrolyte,Semiconductor,Solar simulator,Article DOI,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,VOC,JSC,FF,PCE
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OC(=O)C[n+]1c(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)sc2c1cccc2,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,578.0,673.0,380.0,4.5,0.63,1.1
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OC(=O)c1ccc2c(c1)C(C)(C)C(=[N+]2C)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,616.0,490.0,340.0,2.7,0.63,0.6
19,2.0,0.0,0.0,1.0,0.0,4.0,1.0,-2.0,498.611,9.411,762.299,432.394,174.806,48.674,106.426,1435.316,1.0,8.0,0.0616995,0.0104946,0.8072439,49.184,14.111,23.48,11.573,4.698,-6.934,-7.069,-3.076,55.184,-1.205,105.158,-4.186,8.634,2.155,1.0,0.584,1.0,85.626,0.0,0.0,124.143,7.0,0.0,1.0,22.0,0.0,22.0,6.0,34.0,3.78425951570729e-06,OC(=O)CN1C(=S)S/C(=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)/C1=O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,539.0,580.0,490.0,7.5,0.7,2.6
20,1.0,0.0,0.0,2.0,0.0,6.0,3.0,-2.0,437.491,7.139,728.954,407.278,243.157,78.518,0.0,1351.686,0.0,5.5,0.0377094,0.0,0.8110524,44.838,13.055,18.604,7.755,4.875,-6.174,-6.443,-1.349,3.142,-2.263,1.578,-5.148,8.542,1.47,0.0,0.494,2.0,64.391,0.0,0.0,133.709,7.0,0.0,2.0,17.0,0.0,17.0,6.0,32.0,2.08189129483572e-06,OC(=O)C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,506.0,610.0,480.0,12.8,0.6,3.7
21,2.0,0.0,0.0,1.0,0.0,8.0,2.0,-2.0,444.529,11.011,782.321,440.977,218.961,122.382,0.0,1437.9,1.0,7.0,0.0843115,0.0089477,0.7875281,47.423,14.304,22.216,10.519,4.508,-7.567,-7.077,-3.746,21.042,-2.272,9.688,-4.356,8.516,1.648,0.0,0.622,1.0,77.019,0.0,0.0,112.989,6.0,0.0,2.0,17.0,0.0,17.0,6.0,33.0,5.30575763022442e-07,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,486.0,520.0,470.0,15.1,0.5,3.5
68,2.0,0.0,0.0,1.0,0.0,6.0,2.0,-2.0,418.491,10.799,722.252,411.471,218.107,92.674,0.0,1332.197,1.0,7.0,0.0875351,0.0096919,0.8106911,44.193,13.028,21.215,10.607,3.822,-6.829,-6.548,-3.23,21.438,-2.011,9.886,-4.637,8.574,1.591,0.0,0.433,1.0,73.15,0.0,0.0,112.983,6.0,0.0,2.0,17.0,0.0,17.0,6.0,31.0,1.43191932910246e-06,N#C/C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/s0927-0248(02)00460-9,coumarin,504.0,560.0,600.0,14.0,0.71,6.0
23,0.0,0.0,0.0,1.0,0.0,9.0,2.0,-2.0,338.362,10.415,650.08,257.143,230.911,162.026,0.0,1117.774,1.0,7.0,0.0970443,0.0107679,0.8012488,34.348,11.584,17.869,10.331,2.464,-5.081,-4.913,-3.713,16.21,-2.377,7.307,-4.34,8.789,1.66,1.0,-0.271,2.0,63.022,0.0,0.0,116.813,6.0,0.0,1.0,10.0,0.0,10.0,0.0,25.0,0.0001283734605162,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/C=C(\C(=O)O)/C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,480.0,535.0,530.0,13.2,0.67,4.7
24,3.0,0.0,0.0,1.0,0.0,4.0,2.0,-2.0,460.452,7.675,672.077,384.02,201.991,20.177,65.889,1291.579,1.0,7.0,0.0456079,0.0104155,0.8534142,43.159,11.559,20.636,10.348,3.867,-6.563,-7.402,-2.193,30.48,-1.365,33.2,-4.787,8.8,1.782,0.0,0.431,1.0,76.15,65.889,0.0,113.728,6.0,0.0,1.0,17.0,0.0,17.0,6.0,33.0,2.05454035695799e-06,N#C/C(=C\c1c(=O)oc2c(c1C(F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,477.0,600.0,500.0,9.4,0.65,3.1
25,1.0,0.0,0.0,1.0,0.0,4.0,2.0,-2.0,392.454,10.714,661.2,395.644,205.106,60.45,0.0,1226.991,1.0,7.0,0.0935615,0.0105868,0.8382877,40.959,11.712,20.191,10.594,3.228,-6.087,-6.022,-2.629,28.476,-1.623,13.436,-4.703,8.603,1.32,0.0,0.251,2.0,71.876,0.0,0.0,112.073,6.0,0.0,1.0,17.0,0.0,17.0,6.0,29.0,6.36756639285356e-06,N#C/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,493.0,540.0,500.0,12.9,0.64,4.1
26,1.0,0.0,0.0,1.0,0.0,3.0,2.0,-2.0,367.444,9.66,636.006,404.643,166.673,64.69,0.0,1174.443,1.0,5.5,0.0794503,0.0086477,0.8464312,39.539,10.994,18.552,9.044,3.8,-5.364,-5.117,-2.518,65.908,-1.168,33.281,-4.075,8.569,1.197,0.0,0.458,3.0,81.752,0.0,0.0,88.572,5.0,0.0,0.0,17.0,0.0,17.0,6.0,27.0,0.0001335612678666,OC(=O)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,451.0,505.0,510.0,11.1,0.6,3.4
27,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.0,285.299,8.129,507.049,266.089,161.754,79.207,0.0,881.756,0.0,4.5,0.0749424,0.0,0.8770297,29.248,8.173,12.968,6.79,2.345,-3.307,-3.675,-2.092,73.382,-0.899,37.379,-4.126,8.629,1.23,2.0,-0.23,3.0,74.067,0.0,0.0,88.385,5.0,0.0,0.0,17.0,0.0,17.0,6.0,21.0,0.0105423640653146,OC(=O)c1cc2cc3CCCN4c3c(c2oc1=O)CCC4,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp026963x,coumarin,442.0,470.0,410.0,4.1,0.56,0.9
28,12.0,0.0,0.0,2.0,0.0,12.0,0.0,-2.0,838.015,10.571,1173.315,268.663,245.765,407.435,251.452,2243.369,2.0,11.0,0.0498152,0.0132585,0.7063461,79.811,26.806,38.204,18.191,9.329,-12.357,-13.959,-4.612,2.968,-2.827,35.381,-3.462,8.185,2.294,4.0,1.562,1.0,51.15,0.0,0.0,197.595,11.0,3.0,2.0,38.0,0.0,38.0,2.0,56.0,1.27404480771949e-10,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(cc1)C=C(C1SC(=S)N(C1=O)CC(=O)O)C1SC(=S)N(C1=O)CC(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.orgel.2014.04.016,"carbazole, benzothiadiazole",446.0,572.0,796.0,6.98,0.87,3.81
38,2.0,0.0,0.0,1.0,0.0,4.0,1.0,-2.0,556.693,11.556,877.29,393.15,206.315,216.088,61.737,1638.144,1.0,7.0,0.0815247,0.0079791,0.7660485,58.9,17.292,26.687,12.203,6.204,-10.191,-9.981,-4.541,27.734,-1.87,28.449,-4.177,8.478,1.788,3.0,1.331,1.0,63.18,0.0,0.0,110.528,6.0,2.0,1.0,27.0,0.0,27.0,6.0,39.0,2.3901744888541503e-09,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/chem.201301658,coumarin,511.0,572.0,581.0,14.66,0.6859999999999999,5.97
32,2.0,0.0,0.0,1.0,0.0,7.0,1.0,-2.0,477.552,6.19,798.076,231.866,223.407,263.084,79.72,1412.137,1.0,8.5,0.0271293,0.0106506,0.7627319,48.377,15.792,23.122,13.27,4.123,-7.761,-7.701,-4.818,19.096,-2.223,23.844,-4.038,8.66,1.925,3.0,0.263,1.0,74.01,0.0,0.0,124.718,7.0,0.0,2.0,20.0,0.0,20.0,0.0,33.0,7.58383208886302e-07,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)C=C(C(=O)O)C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,460.0,581.0,690.0,9.79,0.71,4.78
33,6.0,0.0,0.0,1.0,0.0,7.0,0.0,-2.0,583.709,12.751,895.941,280.741,192.334,238.403,184.463,1624.207,1.0,9.5,0.1001046,0.0106034,0.7458415,56.629,18.284,27.849,14.148,5.603,-8.544,-8.754,-4.974,37.636,-1.711,186.067,-3.552,9.052,2.292,4.0,0.609,1.0,62.034,0.0,0.0,138.17,8.0,2.0,1.0,25.0,0.0,25.0,0.0,38.0,4.6774223322469e-07,CCN(c1ccc2c(c1)oc(=O)c(c2)c1csc(n1)c1ccc(s1)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,489.0,607.0,500.0,0.96,0.69,0.33
34,1.0,0.0,0.0,1.0,0.0,8.0,1.0,-2.0,470.542,10.042,815.887,239.968,217.251,325.27,33.398,1449.74,1.0,7.0,0.0695593,0.0085796,0.7592679,49.834,16.243,23.204,11.979,4.945,-8.312,-8.237,-5.171,21.843,-2.349,15.372,-3.61,8.676,1.683,2.0,0.641,1.0,79.872,0.0,0.0,114.167,6.0,0.0,2.0,21.0,0.0,21.0,0.0,34.0,5.63388044748462e-07,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N)CC,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c5pp00216h,coumarin,438.0,500.0,660.0,7.72,0.71,3.62
35,1.0,0.0,0.0,1.0,0.0,4.0,0.0,-1.0,493.601,5.12,769.848,364.41,134.586,270.852,0.0,1516.496,1.0,5.5,0.0172869,0.0071443,0.8291904,54.554,15.275,23.172,10.329,6.429,-7.587,-8.421,-3.78,132.808,-0.983,70.974,-2.662,8.443,0.871,1.0,1.343,1.0,89.63,0.0,0.0,87.276,5.0,1.0,1.0,29.0,0.0,29.0,6.0,37.0,2.78143398586981e-05,OC(=O)c1ccc(cc1)c1ccccc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,407.0,485.0,554.0,2.98,0.63,1.04
36,2.0,0.0,0.0,1.0,0.0,3.0,0.0,-2.0,493.601,8.122,825.202,376.581,151.982,296.639,0.0,1549.215,1.0,5.5,0.0425778,0.006665,0.7846558,56.752,16.092,24.246,10.977,6.531,-8.751,-8.421,-4.624,90.835,-1.263,47.074,-2.988,8.498,0.833,1.0,1.46,1.0,87.274,0.0,0.0,89.072,5.0,1.0,1.0,29.0,0.0,29.0,6.0,37.0,9.00797003469453e-07,OC(=O)c1ccc(cc1)c1cccc(c1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,414.0,496.0,704.0,4.57,0.7240000000000001,2.33
37,1.0,0.0,0.0,1.0,0.0,3.0,0.0,-2.0,493.601,8.911,820.408,376.549,151.508,292.351,0.0,1541.672,1.0,5.5,0.0515085,0.006704,0.7866766,56.409,15.977,24.246,10.933,6.481,-8.664,-8.421,-4.571,91.78,-1.249,47.604,-2.994,8.435,1.024,1.0,1.44,1.0,87.066,0.0,0.0,87.668,5.0,1.0,1.0,29.0,0.0,29.0,6.0,37.0,1.08444361965107e-06,OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1039/c6ra17930d,coumarin,420.0,509.0,687.0,5.63,0.695,2.69
39,8.0,0.0,0.0,2.0,0.0,17.0,2.0,-2.0,640.755,9.32,1063.85,160.752,326.307,543.154,33.637,1960.04,2.0,8.0,0.0443176,0.0106347,0.7119696,66.558,24.127,31.172,15.264,7.596,-10.827,-11.549,-5.168,0.511,-4.67,0.339,-3.988,7.915,1.49,6.0,1.216,1.0,40.289,0.0,0.0,155.664,8.0,2.0,2.0,26.0,0.0,26.0,0.0,47.0,9.81024149836644e-10,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.011,phenothiazine,422.0,610.0,756.0,8.98,0.69,4.66
40,3.0,0.0,0.0,1.0,0.0,5.0,1.0,-2.0,608.729,9.88,917.547,388.418,240.859,196.643,91.628,1736.479,1.0,9.0,0.0562107,0.0098088,0.7614644,62.007,18.54,28.775,14.162,5.805,-10.057,-10.452,-4.522,13.045,-2.282,18.354,-4.786,8.527,2.338,2.0,1.119,1.0,54.98,0.0,0.0,137.711,8.0,2.0,2.0,31.0,0.0,31.0,6.0,43.0,8.75075568544222e-10,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.015,coumarin,507.0,720.0,580.0,12.2,0.68,4.82
41,4.0,0.0,0.0,1.0,0.0,5.0,1.0,-2.0,666.765,9.608,976.543,501.689,234.028,148.669,92.157,1853.768,1.0,10.5,0.049794,0.0107522,0.7473267,66.243,19.372,30.831,15.409,5.874,-10.486,-11.123,-4.522,15.143,-2.305,21.71,-4.829,8.478,2.204,2.0,1.099,1.0,56.547,0.0,0.0,152.131,10.0,2.0,2.0,35.0,0.0,35.0,8.0,47.0,3.23078587027516e-10,N#C/C(=C\c1sc(c2c1OCCO2)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1016/j.dyepig.2012.02.015,coumarin,520.0,720.0,550.0,10.8,0.66,3.93
43,4.0,0.0,0.0,1.0,0.0,8.0,2.0,-2.0,607.741,9.152,957.675,403.515,264.025,228.495,61.64,1793.205,1.0,8.5,0.0467101,0.0088757,0.7453615,62.655,19.413,28.442,13.468,6.139,-10.366,-10.404,-4.935,7.866,-2.936,7.278,-4.812,8.562,1.981,2.0,1.249,1.0,53.008,0.0,0.0,137.171,7.0,2.0,2.0,27.0,0.0,27.0,6.0,43.0,4.02528400036571e-10,N#C/C(=C/c1ccc(s1)c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1002/adma.200601020,coumarin,552.0,,610.0,16.5,0.76,7.6
46,2.0,0.0,0.0,1.0,0.0,7.0,2.0,-2.0,500.611,10.839,819.4,410.059,215.708,152.931,40.701,1528.459,1.0,7.0,0.0768686,0.0085428,0.7831384,51.981,15.637,23.991,11.028,5.294,-8.57,-8.524,-3.963,22.591,-2.103,17.481,-4.284,8.52,1.876,1.0,0.91,1.0,56.259,0.0,0.0,111.96,6.0,2.0,2.0,22.0,0.0,22.0,6.0,36.0,7.00688086359625e-08,N#C/C(=C\c1ccc(s1)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp806927b,coumarin,510.0,,630.0,13.37,0.77,6.5
47,2.0,0.0,0.0,1.0,0.0,8.0,2.0,-2.0,525.621,8.658,840.68,398.174,267.84,142.156,32.51,1577.319,1.0,8.5,0.0475288,0.0101109,0.7794962,53.191,16.339,24.989,12.615,4.547,-8.146,-8.414,-3.97,7.237,-2.778,4.606,-5.187,8.617,2.063,1.0,0.676,1.0,55.996,0.0,0.0,139.249,7.0,1.0,2.0,22.0,0.0,22.0,6.0,38.0,2.44259109260233e-08,N#C/C(=C\c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,Iodide_Triiodide,TiO2,AM 1.5G 100mW/cm2,10.1021/jp806927b,coumarin,566.0,,510.0,14.32,0.73,5.3
