VOC,JSC,FF,PCE,Electrolyte,Active area,Co-adsorbent,Co-sensitizer,Semiconductor,Dye loading,Exposure time,Solar simulator,Performance comment,Article author,Article title,Article journal,Article volume,Article DOI,Article pages,Article issue nr,Article EID,Article year,Article year,Article electronic id,Article keywords,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent
560,3.41,0.73,1.39,OPV-AN-I  (iodide-triiodide),0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN([C@@H]1C=Cc2c(C1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)/C=C(/[C@H]1SC(=S)N(C1=O)CC(=O)O)\[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,465,490,Acetonitrile-DMSO
660,7.72,0.71,3.62,OPV-AN-I  (iodide-triiodide),0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C/C=C(\C(=O)O)/C#N)CC,coumarin,438,500,Acetonitrile-DMSO
600,4.03,0.73,1.77,OPV-AN-I  (iodide-triiodide),0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)CC(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,425,487,Acetonitrile-DMSO
690,5.79,0.7,2.8,OPV-AN-I  (iodide-triiodide),0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CC,coumarin,413,490,Acetonitrile-DMSO
580,3.33,0.73,1.41,OPV-AN-I  (iodide-triiodide),0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)C(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,coumarin,449,494,Acetonitrile-DMSO
660,5.63,0.7,2.6,OPV-AN-I  (iodide-triiodide),0.16,-,-,TiO2 film,-,24 hours,AM 1.5G 100mW/cm2,-,Liang Han and Huabiao Wu and Yanhong Cui and Xiaoyan Zu and Qing Ye and Jianrong Gao,Synthesis and density functional theory study of novel coumarin-type dyes for dye sensitized solar cells,Journal of Photochemistry and Photobiology A: Chemistry,290,10.1016/j.jphotochem.2014.06.001,54--62,,,01/01/2014,Han_2014,,,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\C(=O)O)/C#N)CC,coumarin,420,510,Acetonitrile-DMSO
380,4.5,0.63,1.1,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)C[n+]1c(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)sc2c1cccc2,coumarin,578,673,"methanol, tert-butyl alcohol-acetonitrile"
340,2.7,0.63,0.6,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)c1ccc2c(c1)C(C)(C)C(=[N+]2C)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,616,490,"methanol, tert-butyl alcohol-acetonitrile"
490,7.5,0.7,2.6,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)CN1C(=S)S/C(=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)/C1=O,coumarin,539,580,"methanol, tert-butyl alcohol-acetonitrile"
480,12.8,0.6,3.7,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C(=O)O,coumarin,506,610,"methanol, tert-butyl alcohol-acetonitrile"
470,15.1,0.5,3.5,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,486,520,"methanol, tert-butyl alcohol-acetonitrile"
550,15.2,0.62,5.2,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,N#C/C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,504,560,"methanol, tert-butyl alcohol-acetonitrile"
530,13.2,0.67,4.7,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/C=C(\C(=O)O)/C#N)CC,coumarin,480,535,"methanol, tert-butyl alcohol-acetonitrile"
500,9.4,0.65,3.1,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,N#C/C(=C\c1c(=O)oc2c(c1C(F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C)/C(=O)O,coumarin,477,600,"methanol, tert-butyl alcohol-acetonitrile"
500,12.9,0.64,4.1,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,N#C/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,493,540,"methanol, tert-butyl alcohol-acetonitrile"
510,11.1,0.6,3.4,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,451,505,"methanol, tert-butyl alcohol-acetonitrile"
410,4.1,0.56,0.9,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)",0.25,-,-,TiO2 film (13 uM thick),-,-,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Tadatake Sato and Ryuzi Katoh and Akihiro Furube and Yasuyo Ohga and Akira Shinpo and Sadaharu Suga and Kazuhiro Sayama and Hideki Sugihara and Hironori Arakawa,Molecular Design of Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,107,10.1021/jp026963x,597--606,2,,01/01/2003,Hara_2003,,,OC(=O)c1cc2cc3CCCN4c3c(c2oc1=O)CCC4,coumarin,442,470,"methanol, tert-butyl alcohol-acetonitrile"
660,12.1,0.73,5.8,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M 4-tert-butylpyridine (TBP) in AN,0.25,40 mM DCA,-,TiO2 film (15 uM thick),-,12 hours,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Zhong-Sheng Wang and Tadatake Sato and Akihiro Furube and Ryuzi Katoh and Hideki Sugihara and Yasufumi Dan-oh and Chiaki Kasada and Akira Shinpo and Sadaharu Suga,Oligothiophene-Containing Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,109,10.1021/jp0518557,15476--15482,32,,01/01/2005,Hara_2005,,,N#C/C(=C\c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,507,556,T-BuOH-AN
710,13.5,0.77,7.4,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M 4-tert-butylpyridine (TBP) in AN,0.25,40 mM DCA,-,TiO2 film (15 uM thick),-,12 hours,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Zhong-Sheng Wang and Tadatake Sato and Akihiro Furube and Ryuzi Katoh and Hideki Sugihara and Yasufumi Dan-oh and Chiaki Kasada and Akira Shinpo and Sadaharu Suga,Oligothiophene-Containing Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,109,10.1021/jp0518557,15476--15482,32,,01/01/2005,Hara_2005,,,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,511,572,T-BuOH-AN
700,14.3,0.64,6.4,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M 4-tert-butylpyridine (TBP) in AN,0.25,40 mM DCA,-,TiO2 film (15 uM thick),-,12 hours,AM 1.5G 100mW/cm2,-,Kohjiro Hara and Zhong-Sheng Wang and Tadatake Sato and Akihiro Furube and Ryuzi Katoh and Hideki Sugihara and Yasufumi Dan-oh and Chiaki Kasada and Akira Shinpo and Sadaharu Suga,Oligothiophene-Containing Coumarin Dyes for Efficient Dye-Sensitized Solar Cells,The Journal of Physical Chemistry B,109,10.1021/jp0518557,15476--15482,32,,01/01/2005,Hara_2005,,,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,501,577,T-BuOH-AN
796,6.98,0.87,3.81,OPV-AN-I,0.16,-,-,TiO2 8-12 uM thickness,-,24 hours,"AM1.5G, 100 mW/cm2",-,Liang Han and Xiaoyan Zu and Yanhong Cui and Huabiao Wu and Qing Ye and Jianrong Gao,Novel D{\textendash}A{\textendash}$\uppi${\textendash}A carbazole dyes containing benzothiadiazole chromophores for dye-sensitized solar cells,Organic Electronics,15,10.1016/j.orgel.2014.04.016,1536--1544,7,,01/01/2014,Han_2014,,,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(cc1)C=C(C1SC(=S)N(C1=O)CC(=O)O)C1SC(=S)N(C1=O)CC(=O)O,"carbazole, benzothiadiazole",446,572,CH3OH+CHCl3
