,Molecule SMILE,Molecule keywords,Molecule spectrum absorption maxima,Molecule spectrum emission maxima,Molecule spectrum solvent,VOC,JSC,FF,PCE,Molecule Graph
55,OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,420.0,509.0,acetonitrile,687.0,5.63,0.695,2.69,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39170>
57,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,511.0,572.0,T-BuOH-AN,581.0,14.66,0.6859999999999999,5.97,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39210>
58,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C(=O)O,phenothiazine,422.0,610.0,CH2Cl2/MeOH (1:1),756.0,8.98,0.69,4.66,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39260>
59,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,507.0,720.0,CHCl3/MeOH,580.0,12.2,0.68,4.82,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC392B0>
61,N#C/C(=C\c1sc(c2c1OCCO2)c1ccc(c2c1nsn2)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,520.0,720.0,CHCl3/MeOH,550.0,10.8,0.66,3.93,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39300>
68,N#C/C(=C/c1ccc(s1)c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,coumarin,552.0,,ethanol,610.0,16.5,0.76,7.6,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39350>
71,N#C/C(=C\c1ccc(s1)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,510.0,,ethanol,630.0,13.37,0.77,6.5,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC393A0>
72,N#C/C(=C\c1ccc(s1)/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C#N)/C(=O)O,coumarin,566.0,,ethanol,510.0,14.32,0.73,5.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39440>
84,N#C/C(=C\1/C=C(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)CC(C1)(C)C)/C(=O)O,coumarin,492.0,,ethanol,620.0,15.5,0.7,6.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39490>
87,N#C/C(=C/c1ccc(s1)/C=C/c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,525.0,,ethanol,610.0,13.3,0.68,5.5,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC394E0>
94,OC(=O)c1cc2cc3CCCN4c3c(c2oc1=O)CCC4,coumarin,442.0,470.0,"methanol, tert-butyl alcohol-acetonitrile",410.0,4.1,0.56,0.9,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39530>
95,OC(=O)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,coumarin,451.0,505.0,"methanol, tert-butyl alcohol-acetonitrile",510.0,11.1,0.6,3.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39580>
98,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,486.0,520.0,"methanol, tert-butyl alcohol-acetonitrile",470.0,15.1,0.5,3.5,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC395D0>
99,N#C/C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,504.0,560.0,"methanol, tert-butyl alcohol-acetonitrile",600.0,14.0,0.71,6.0,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39620>
102,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CCCC,coumarin,450.0,502.0,DMSO,491.0,2.461,0.635,0.767,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39670>
103,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(c(c1)C(=O)O)O)CC,coumarin,448.0,501.0,DMSO,501.0,2.082,0.614,0.64,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC396C0>
104,OC(=O)c1cc(ccc1O)C1N=C2Oc3c(C=C2c2n1c1ccccc1n2)cc1c2c3CCCN2CCC1,coumarin,454.0,510.0,DMSO,502.0,1.081,0.66,0.358,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39710>
105,CCCCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(cc1)C(=O)O)CCCC,coumarin,454.0,504.0,DMSO,470.0,1.912,0.69,0.581,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39760>
106,CCN(c1ccc2c(c1)OC1=NC(n3c(C1=C2)nc1c3cccc1)c1ccc(cc1)C(=O)O)CC,coumarin,451.0,503.0,DMSO,441.0,1.754,0.6829999999999999,0.528,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC397B0>
107,OC(=O)c1ccc(cc1)C1N=C2Oc3c(C=C2c2n1c1ccccc1n2)cc1c2c3CCCN2CCC1,coumarin,475.0,520.0,DMSO,490.0,0.936,0.6509999999999999,0.299,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39800>
108,CCCCn1c2ccc(cc2c2c1cccc2)c1cc(c(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C=C(\C(=O)O)/C#N,coumarin,507.0,714.0,CHCl3,610.0,13.47,0.68,5.53,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39850>
110,CCCCC1(CCCC)c2ccccc2c2c1cc(cc2)c1cc(c(s1)c1cc2cc3C(C)(C)CCN4c3c(c2oc1=O)C(C)(C)CC4)/C=C(/C(=O)O)\C#N,coumarin,478.0,625.0,CHCl3,561.0,10.5,0.68,4.02,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC398A0>
112,N#C/C(=C/c1cc(sc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C)/C(=O)O,coumarin,467.0,617.0,CHCl3,508.0,7.61,0.7,2.74,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC398F0>
114,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,coumarin,492.0,569.0,CH3OH-CHCl3,590.0,12.91,0.61,4.59,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39940>
115,N#C/C(=C\c1ccc(cc1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,coumarin,473.0,553.0,CH3OH-CHCl3,690.0,14.33,0.63,6.24,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39990>
116,CCN(c1ccc2c(c1)OC(=O)[C@H](C2)C(=O)O)CC,coumarin,445.0,,acetonitrile,550.0,2.18,0.69,1.03,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC399E0>
121,N#C/C(=C\c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccccc1)c1ccccc1)/C(=O)O,coumarin,489.0,566.0,CH3OH-CHCl3,540.0,9.52,0.65,3.36,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39A30>
125,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nsn2)C#Cc1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,512.0,619.0,ethanol,537.0,3.83,0.6559999999999999,1.35,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39A80>
127,N#C/C(=C/c1ccc(cc1)c1ccc(c2c1nsn2)C#Cc1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,coumarin,490.0,578.0,ethanol,678.0,13.31,0.6970000000000001,6.29,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39AD0>
132,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)F)/C=C(\C(=O)O)/C#N)CC,coumarin,450.0,,ethanol:dichloromethane,760.0,10.4,0.72,5.2,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39B20>
133,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)Cl)/C=C(\C(=O)O)/C#N)CC,coumarin,442.0,,ethanol:dichloromethane,748.0,8.3,0.73,4.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39B70>
134,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(c(c1)Br)/C=C(\C(=O)O)/C#N)CC,coumarin,433.0,,ethanol:dichloromethane,731.0,7.5,0.71,3.5,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39BC0>
135,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\C(=O)O)/C#N)CC,coumarin,420.0,510.0,Acetonitrile-DMSO,709.0,6.79,0.7,3.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39C10>
142,N#CC(=Cc1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,coumarin,515.0,605.0,CHCl3-CH3OH,620.0,10.94,0.7,4.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39C60>
144,N#CC(=Cc1ccc(s1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,coumarin,497.0,581.0,CHCl3-CH3OH,610.0,12.97,0.64,5.06,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39CB0>
146,N#CC(=Cc1ccc(cc1)c1ccc(s1)c1cc2ccc(cc2oc1=O)N(c1ccc2c(c1)Cc1c2cccc1)c1ccc2c(c1)Cc1c2cccc1)C(=O)O,coumarin,493.0,572.0,CHCl3-CH3OH,670.0,14.53,0.61,5.94,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39D00>
148,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,carbazole,468.0,589.0,chloroform,720.0,10.9,0.57,2.48,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39D50>
150,N#C/C(=C/c1ccc(s1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)/C(=O)O,carbazole,438.0,585.0,chloroform,610.0,8.47,0.6,2.39,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39DA0>
157,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C)/C(=O)O,carbazole,461.0,,THF,530.0,10.41,0.72,3.96,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39DF0>
160,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)n1c3ccc(cc3c3c1c2cc(c3)C(C)(C)C)C(C)(C)C,carbazole,464.0,,THF,550.0,7.01,0.74,2.85,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39E40>
174,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N,carbazole,480.0,,20%THF-toluene,700.0,14.5,0.69,7.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39E90>
175,CCCCCCCOc1ccc2c(c1)n(CC)c1c2cc(cc1)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)/C=C(\C(=O)O)/C#N,carbazole,483.0,,20%THF-toluene,650.0,16.0,0.71,8.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39EE0>
178,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N)CC,phenothiazine,462.0,,Dichloromethane,675.0,12.52,0.6759999999999999,5.6,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC39F30>
183,CCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1OCCCC)OCCCC)c1ccc(s1)c1ccc(s1)/C=C(/C(=O)O)\C#N,phenothiazine,457.0,,dichloromethane,706.0,16.36,0.645,7.5,<rdkit.Chem.rdchem.Mol object at 0x00000269EB99D3F0>
186,CCCCCCc1cc(sc1c1sc(c(c1)CCCCCC)C=C(C(=O)O)C#N)c1ccc2c(c1)c1ccccc1n2CC,carbazole,474.0,,20%THF-toluene,792.0,10.2,0.65,5.1,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC03F80>
187,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccccc1,carbazole,473.0,,20%THF-toluene,580.0,9.71,0.72,5.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EB9D8120>
188,CCCCCCc1cc(sc1c1cc(c(s1)C=C(C(=O)O)C#N)CCCCCC)c1ccc2c(c1)c1ccccc1n2c1ccc(cc1)OC,carbazole,472.0,,20%THF-toluene,660.0,9.73,0.72,5.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC07C60>
189,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc(cc1)n1c2ccccc2c2c1cccc2)C(=O)O,carbazole,445.0,557.0,THF,938.0,3.9,0.6809999999999999,1.56,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43D50>
190,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)c1ccccc1n2c1ccccc1)C(=O)O,carbazole,474.0,589.0,THF,627.0,7.37,0.6859999999999999,3.29,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43EE0>
191,CCCCC(Cn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,carbazole,484.0,628.0,THF,620.0,8.3,0.738,3.8,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43F30>
192,CCCCC(COc1ccc(cc1)n1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,carbazole,476.0,595.0,THF,632.0,4.85,0.735,2.36,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43C60>
193,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)n(c1ccccc1)c1c2cccc1)C(=O)O,carbazole,459.0,560.0,THF,639.0,3.22,0.73,1.53,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43D00>
194,CCCCC(COc1ccc(cc1)n1c2ccccc2c2c1cc(cc2)c1ccc(c2c1nsn2)c1ccc(s1)C=C(C(=O)O)C#N)CC,carbazole,461.0,557.0,THF,673.0,2.43,0.711,1.2,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43940>
195,CCCCCCn1c(c2ccc(cc2)c2ccc3c(c2)Sc2c(N3CCCCCC)cccc2)c2c(c1=O)c(n(c2=O)CCCCCC)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N,phenothiazine,500.0,,dichloromethane,638.0,9.68,0.74,4.56,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43B70>
199,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)cccc1,phenothiazine,496.0,661.0,Dichloromethane,820.0,12.98,0.6,6.44,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43B20>
200,CCCCCCOc1ccc(cc1)N1c2ccc(cc2Sc2c1cccc2)c1ccc2c(c1)Sc1c(N2c2ccc(cc2)OCCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N,phenothiazine,495.0,662.0,Dichloromethane,820.0,14.0,0.64,7.38,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43850>
201,CCCCCCOc1ccc(cc1)N1c2ccccc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N,phenothiazine,475.0,655.0,Dichloromethane,780.0,12.87,0.65,6.52,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43A30>
202,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc2c(c1)Sc1c(N2CCCCCC)ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1,phenothiazine,478.0,675.0,Dichloromethane,820.0,10.25,0.6,5.05,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43E90>
205,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CC,phenothiazine,484.0,,Dichloromethane,525.0,3.94,0.628,1.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43E40>
206,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CC,phenothiazine,477.0,,Dichloromethane,425.0,1.57,0.635,0.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43030>
207,CCCC[C@@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C(/C(=O)O)\C#N)/C=C(/C(=O)O)\C#N)CC,phenothiazine,469.0,,Dichloromethane,675.0,14.96,0.682,6.8,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43080>
208,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)N1CCCC1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,phenothiazine,536.0,659.0,Dichloromethane,575.0,1.28,0.58,0.5,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC430D0>
209,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)n1c2ccccc2c2c1cccc2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,phenothiazine,478.0,657.0,Dichloromethane,615.0,3.64,0.57,1.3,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC38170>
210,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)N1c2ccccc2Sc2c1cccc2)/C=C\1/SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,phenothiazine,472.0,636.0,Dichloromethane,698.0,3.87,0.65,1.8,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43120>
211,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)c1ccc2c(c1)Sc1c(N2CCCCCC)cccc1,phenothiazine,503.0,688.0,Dichloromethane,683.0,4.46,0.6,1.9,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43170>
212,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)c1ccc(cc1)C)/C=C/1\SC(=S)N(C1=O)CC(=O)O,phenothiazine,471.0,655.0,Dichloromethane,638.0,3.33,0.57,1.2,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC431C0>
213,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)C#N)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,phenothiazine,462.0,630.0,Dichloromethane,613.0,1.07,0.53,0.4,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43210>
214,CCCCCCCCCCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)Br)CCCCCCCCCC,phenothiazine,473.0,643.0,Dichloromethane,627.0,1.77,0.59,0.6,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43260>
215,CCCCCCCCCCCC[C@H](CN1c2ccccc2Sc2c1ccc(c2)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CCCCCCCCCC,phenothiazine,478.0,651.0,Dichloromethane,607.0,2.0,0.58,0.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC432B0>
216,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)OC[C@H](CCCC)CC)c1ccc(s1)[C@@H]1[C@H]([O-])/C(=C/[C@@H]2[NH+](CCCCCCCC)c3c(C2(C)C)cc(cc3)C(=O)O)/C1=O,phenothiazine,653.0,775.0,THF,411.0,3.1,0.7240000000000001,0.9,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC43350>
217,CCSc1cc2c(cc1C=C(C(=O)O)C#N)Sc1c(N2c2ccc(cc2)OC)cccc1,phenothiazine,492.0,649.0,dichloromethane,818.5,9.23,0.7597,5.74,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC433A0>
218,CCCCN1c2cc(SCC)c(cc2Sc2c1cccc2)C=C(C(=O)O)C#N,phenothiazine,472.0,652.0,dichloromethane,768.7,10.26,0.7224,5.7,<rdkit.Chem.rdchem.Mol object at 0x00000269EEC433F0>
